Date,Open,High,Low,Close/Last,Adj. Close,Volume
31-Jul-10,"2,283.32","2,309.43","2,099.29","2,114.03","2,114.03","41,794,240,000"
30-Jun-10,"2,110.75","2,307.60","2,061.14","2,254.70","2,254.70","43,910,370,000"
31-May-10,"2,244.79","2,341.11","2,105.26","2,109.24","2,109.24","48,633,730,000"
30-Apr-10,"2,472.32","2,503.00","2,140.53","2,257.04","2,257.04","57,203,120,000"
31-Mar-10,"2,411.68","2,535.28","2,383.77","2,461.19","2,461.19","54,528,540,000"
1-Mar-10,"2,247.40","2,432.25","2,247.33","2,397.96","2,397.96","54,955,550,000"
1-Feb-10,"2,155.81","2,251.68","2,100.17","2,238.26","2,238.26","42,835,360,000"
1-Jan-10,"2,294.41","2,326.28","2,140.34","2,147.35","2,147.35","45,625,830,000"
1-Dec-09,"2,162.23","2,295.80","2,155.96","2,269.15","2,269.15","39,269,070,000"
31-Oct-09,"2,047.42","2,205.32","2,024.27","2,144.60","2,144.60","38,877,300,000"
30-Sep-09,"2,111.77","2,190.64","2,040.21","2,045.11","2,045.11","50,489,640,000"
31-Aug-09,"2,001.30","2,167.70","1,958.04","2,122.42","2,122.42","49,652,910,000"
31-Jul-09,"1,998.35","2,059.48","1,929.64","2,009.06","2,009.06","44,011,670,000"
30-Jun-09,"1,846.12","2,009.81","1,727.05","1,978.50","1,978.50","47,084,360,000"
31-May-09,"1,796.09","1,879.92","1,753.78","1,835.04","1,835.04","51,881,250,000"
30-Apr-09,"1,719.29","1,774.33","1,664.19","1,774.33","1,774.33","47,352,030,000"
31-Mar-09,"1,504.87","1,753.61","1,498.54","1,717.30","1,717.30","48,683,640,000"
1-Mar-09,"1,356.13","1,587.00","1,265.52","1,528.59","1,528.59","49,480,930,000"
1-Feb-09,"1,460.85","1,598.50","1,372.42","1,377.84","1,377.84","42,380,620,000"
1-Jan-09,"1,578.87","1,665.63","1,434.08","1,476.42","1,476.42","39,995,600,000"
1-Dec-08,"1,496.09","1,602.92","1,398.07","1,577.03","1,577.03","39,619,890,000"
31-Oct-08,"1,718.89","1,785.84","1,295.48","1,535.57","1,535.57","41,933,210,000"
30-Sep-08,"2,075.10","2,083.20","1,493.79","1,720.95","1,720.95","62,537,120,000"
31-Aug-08,"2,402.11","2,413.11","1,983.73","2,091.88","2,091.88","51,722,940,000"
31-Jul-08,"2,326.83","2,473.20","2,280.93","2,367.52","2,367.52","39,482,890,000"
30-Jun-08,"2,274.24","2,353.39","2,167.29","2,325.55","2,325.55","50,672,460,000"
31-May-08,"2,514.82","2,549.94","2,290.59","2,292.98","2,292.98","45,968,100,000"
30-Apr-08,"2,416.49","2,551.47","2,416.49","2,522.66","2,522.66","42,783,110,000"
31-Mar-08,"2,306.51","2,451.19","2,266.29","2,412.80","2,412.80","42,726,250,000"
1-Mar-08,"2,271.26","2,346.78","2,155.42","2,279.10","2,279.10","44,966,440,000"
1-Feb-08,"2,392.58","2,419.23","2,252.65","2,271.48","2,271.48","45,767,570,000"
1-Jan-08,"2,653.91","2,661.50","2,202.54","2,389.86","2,389.86","55,211,960,000"
1-Dec-07,"2,654.91","2,734.82","2,553.99","2,652.28","2,652.28","37,753,390,000"
31-Oct-07,"2,835.00","2,835.63","2,539.81","2,660.96","2,660.96","50,214,790,000"
30-Sep-07,"2,704.25","2,861.51","2,698.14","2,859.12","2,859.12","48,751,620,000"
31-Aug-07,"2,596.38","2,716.75","2,536.93","2,701.50","2,701.50","35,257,250,000"
31-Jul-07,"2,538.50","2,627.75","2,386.69","2,596.36","2,596.36","52,126,030,000"
30-Jun-07,"2,617.39","2,724.74","2,545.90","2,546.27","2,546.27","45,107,360,000"
31-May-07,"2,614.01","2,634.60","2,534.97","2,603.23","2,603.23","45,340,310,000"
30-Apr-07,"2,529.95","2,607.90","2,510.57","2,604.52","2,604.52","44,252,460,000"
31-Mar-07,"2,425.36","2,562.99","2,409.04","2,525.09","2,525.09","39,717,000,000"
1-Mar-07,"2,377.18","2,459.96","2,331.57","2,421.64","2,421.64","43,563,900,000"
1-Feb-07,"2,474.08","2,531.42","2,395.35","2,416.15","2,416.15","39,700,560,000"
1-Jan-07,"2,429.72","2,508.93","2,394.66","2,463.93","2,463.93","42,688,490,000"
1-Dec-06,"2,430.75","2,470.95","2,392.95","2,415.29","2,415.29","35,073,670,000"
1-Nov-06,"2,373.49","2,468.42","2,316.82","2,431.77","2,431.77","38,943,340,000"
30-Sep-06,"2,257.00","2,379.29","2,224.21","2,366.71","2,366.71","42,714,580,000"
31-Aug-06,"2,194.56","2,273.30","2,147.44","2,258.43","2,258.43","37,304,950,000"
31-Jul-06,"2,080.34","2,193.34","2,048.22","2,183.75","2,183.75","38,177,580,000"
30-Jun-06,"2,177.91","2,190.44","2,012.78","2,091.47","2,091.47","36,405,330,000"
31-May-06,"2,179.82","2,233.88","2,065.11","2,172.09","2,172.09","43,418,010,000"
30-Apr-06,"2,329.79","2,352.56","2,135.81","2,178.88","2,178.88","45,923,780,000"
1-Apr-06,"2,352.24","2,375.54","2,299.42","2,322.57","2,322.57","39,227,480,000"
1-Mar-06,"2,288.15","2,353.14","2,239.54","2,339.79","2,339.79","47,567,350,000"
1-Feb-06,"2,294.11","2,313.53","2,232.68","2,281.39","2,281.39","37,103,890,000"
1-Jan-06,"2,216.53","2,332.92","2,189.91","2,305.82","2,305.82","41,781,780,000"
1-Dec-05,"2,244.85","2,278.16","2,200.51","2,205.32","2,205.32","34,343,260,000"
1-Nov-05,"2,109.89","2,269.30","2,108.86","2,232.82","2,232.82","35,854,200,000"
30-Sep-05,"2,152.70","2,167.00","2,025.58","2,120.30","2,120.30","36,500,900,000"
31-Aug-05,"2,150.03","2,186.83","2,093.06","2,151.69","2,151.69","34,790,080,000"
31-Jul-05,"2,191.49","2,219.91","2,112.25","2,152.09","2,152.09","34,238,710,000"
30-Jun-05,"2,060.97","2,201.39","2,050.30","2,184.83","2,184.83","32,702,310,000"
31-May-05,"2,067.23","2,106.57","2,039.69","2,056.96","2,056.96","36,702,320,000"
30-Apr-05,"1,923.23","2,076.80","1,916.03","2,068.22","2,068.22","34,223,410,000"
1-Apr-05,"2,009.09","2,021.82","1,889.83","1,921.65","1,921.65","37,517,930,000"
1-Mar-05,"2,057.47","2,100.57","1,968.58","1,999.23","1,999.23","39,780,380,000"
1-Feb-05,"2,063.27","2,103.45","2,023.00","2,051.72","2,051.72","36,633,150,000"
1-Jan-05,"2,184.75","2,191.60","2,008.68","2,062.41","2,062.41","43,135,970,000"
1-Dec-04,"2,104.58","2,185.56","2,097.86","2,175.44","2,175.44","44,379,920,000"
1-Nov-04,"1,975.48","2,117.89","1,969.32","2,096.81","2,096.81","37,928,210,000"
30-Sep-04,"1,909.59","1,984.18","1,899.33","1,974.99","1,974.99","35,975,380,000"
31-Aug-04,"1,833.37","1,925.85","1,833.33","1,896.84","1,896.84","31,295,080,000"
31-Jul-04,"1,874.93","1,893.13","1,750.82","1,838.10","1,838.10","30,823,660,000"
30-Jun-04,"2,045.53","2,045.53","1,829.06","1,887.36","1,887.36","35,711,700,000"
31-May-04,"1,978.52","2,055.65","1,960.26","2,047.79","2,047.79","32,602,090,000"
30-Apr-04,"1,928.72","1,991.87","1,865.40","1,986.74","1,986.74","32,652,780,000"
1-Apr-04,"1,996.45","2,079.12","1,919.39","1,920.15","1,920.15","40,153,120,000"
1-Mar-04,"2,036.92","2,069.02","1,896.91","1,994.22","1,994.22","42,497,500,000"
1-Feb-04,"2,072.13","2,094.92","1,991.05","2,029.82","2,029.82","35,916,840,000"
1-Jan-04,"2,011.08","2,153.83","1,999.77","2,066.15","2,066.15","45,972,690,000"
1-Dec-03,"1,972.97","2,015.23","1,887.46","2,003.37","2,003.37","35,470,880,000"
1-Nov-03,"1,941.31","1,992.27","1,878.07","1,960.26","1,960.26","34,049,930,000"
30-Sep-03,"1,797.07","1,966.87","1,796.09","1,932.21","1,932.21","41,226,870,000"
31-Aug-03,"1,817.92","1,913.74","1,783.46","1,786.94","1,786.94","39,917,180,000"
31-Jul-03,"1,731.63","1,813.82","1,640.88","1,810.45","1,810.45","30,294,060,000"
30-Jun-03,"1,617.30","1,776.10","1,598.92","1,735.02","1,735.02","38,212,570,000"
31-May-03,"1,612.10","1,686.10","1,584.70","1,622.80","1,622.80","41,170,990,000"
30-Apr-03,"1,463.00","1,599.92","1,451.32","1,595.91","1,595.91","38,423,310,000"
1-Apr-03,"1,347.54","1,482.49","1,338.23","1,464.31","1,464.31","30,761,430,000"
1-Mar-03,"1,344.21","1,425.73","1,253.22","1,341.17","1,341.17","31,136,990,000"
1-Feb-03,"1,324.74","1,352.07","1,261.79","1,337.52","1,337.52","24,374,040,000"
1-Jan-03,"1,346.93","1,467.35","1,303.64","1,320.91","1,320.91","30,898,030,000"
1-Dec-02,"1,507.94","1,521.44","1,327.19","1,335.51","1,335.51","29,122,630,000"
1-Nov-02,"1,320.95","1,497.44","1,313.72","1,478.78","1,478.78","35,673,650,000"
