Date,Open,High,Low,Close/Last,Adj. Close,Volume
30-Apr-13,"1,475.80","1,487.10","1,342.90","1,392.60","1,392.60","222,108"
31-Mar-13,"1,596.80","1,602.60","1,323.00","1,472.20","1,472.20","14,648"
1-Mar-13,"1,579.60","1,613.80","1,561.80","1,594.80","1,594.80","223,847"
1-Feb-13,"1,663.90","1,683.40","1,555.20","1,577.70","1,577.70","11,784"
1-Jan-13,"1,672.80","1,694.70","1,625.70","1,660.60","1,660.60","197,723"
1-Dec-12,"1,714.90","1,722.30","1,635.80","1,674.80","1,674.80","7,061"
31-Oct-12,"1,722.30","1,751.30","1,674.10","1,710.90","1,710.90","345,777"
30-Sep-12,"1,766.00","1,794.80","1,698.60","1,717.50","1,717.50","2,741"
31-Aug-12,"1,689.10","1,785.30","1,687.70","1,771.10","1,771.10","25,557"
31-Jul-12,"1,613.40","1,690.00","1,583.10","1,684.60","1,684.60","11,783"
31-May-12,"1,560.00","1,639.70","1,545.50","1,603.50","1,603.50","11,162"
30-Apr-12,"1,665.00","1,670.50","1,528.50","1,562.60","1,562.60","345,507"
1-Mar-12,"1,698.60","1,724.60","1,633.80","1,669.30","1,669.30","254,540"
1-Feb-12,"1,738.20","1,790.40","1,669.00","1,709.90","1,709.90","9,587"
1-Dec-11,"1,747.00","1,762.90","1,525.00","1,565.80","1,565.80","11,311"
31-Oct-11,"1,706.70","1,798.40","1,674.40","1,745.50","1,745.50","257,009"
30-Sep-11,"1,627.80","1,752.00","1,596.60","1,724.20","1,724.20","2,715"
31-Aug-11,"1,825.80","1,911.60","1,562.40","1,620.40","1,620.40","31,848"
31-Jul-11,"1,623.00","1,909.30","1,607.00","1,828.50","1,828.50","25,647"
30-Jun-11,"1,502.20","1,634.90","1,480.00","1,628.30","1,628.30","309,932"
31-May-11,"1,535.70","1,558.50","1,490.70","1,502.30","1,502.30","15,027"
31-Mar-11,"1,433.40","1,568.70","1,413.00","1,556.00","1,556.00","15,801"
1-Mar-11,"1,415.30","1,446.90","1,385.50","1,438.90","1,438.90","194,338"
1-Feb-11,"1,333.10","1,415.70","1,324.90","1,409.30","1,409.30","14,468"
1-Jan-11,"1,415.60","1,423.90","1,307.70","1,333.80","1,333.80","299,379"
1-Dec-10,"1,386.80","1,431.10","1,362.50","1,421.10","1,421.10","16,511"
31-Oct-10,"1,360.30","1,423.20","1,327.50","1,385.00","1,385.00","245,327"
30-Sep-10,"1,309.00","1,383.90","1,309.00","1,357.10","1,357.10","3,190"
31-Aug-10,"1,246.30","1,315.20","1,240.00","1,307.80","1,307.80","33,200"
30-Jun-10,"1,206.30","1,242.40","1,158.00","1,181.70","1,181.70","267,525"
31-May-10,"1,224.80","1,264.80","1,196.90","1,245.50","1,245.50","16,703"
30-Apr-10,"1,178.60","1,246.50","1,159.20","1,212.20","1,212.20","361,661"
31-Mar-10,"1,125.10","1,181.30","1,111.30","1,180.10","1,180.10","10,917"
1-Mar-10,"1,119.30","1,145.00","1,085.50","1,113.30","1,113.30","222,583"
1-Feb-10,"1,081.00","1,127.40","1,045.20","1,118.30","1,118.30","18,209"
1-Jan-10,"1,117.70","1,161.20","1,073.20","1,083.00","1,083.00","320,664"
1-Dec-09,"1,181.00","1,226.40","1,075.00","1,095.20","1,095.20","24,177"
30-Sep-09,"1,007.40","1,070.20",986.8,"1,039.70","1,039.70","3,699"
31-Aug-09,954.2,"1,019.80",948.7,"1,008.00","1,008.00","15,642"
31-Jul-09,952.6,971.1,931.5,951.7,951.7,"7,492"
30-Jun-09,929.3,958.1,905.6,953.7,953.7,"177,420"
31-May-09,978.8,990.3,917.3,927.1,927.1,"12,773"
30-Apr-09,884,980.4,881.5,978.8,978.8,"234,559"
31-Mar-09,918.6,932.5,865,890.7,890.7,"17,300"
1-Jan-09,881.5,930.3,805.6,927.3,927.3,"215,420"
1-Dec-08,817.2,883.6,740,883.6,883.6,"9,599"
31-Oct-08,728.8,824,707,816.2,816.2,"377,779"
30-Sep-08,878,925.7,681,716.8,716.8,"3,365"
31-Aug-08,829.9,919,739,874.2,874.2,"18,800"
31-Jul-08,904.9,916.1,780.9,829.3,829.3,"9,253"
30-Jun-08,943.6,986.2,893.3,913.9,913.9,"250,610"
30-Apr-08,855,925.6,849.6,887.3,887.3,"221,797"
31-Mar-08,915,948.7,863,862.8,862.8,"13,006"
1-Mar-08,984.2,"1,014.60",912,916.2,916.2,"216,432"
1-Feb-08,924.8,973.1,884.7,972.1,972.1,"8,233"
1-Jan-08,848.7,936.3,846.4,922.7,922.7,"231,851"
1-Dec-07,783.9,843.2,777,834.9,834.9,"7,681"
31-Oct-07,785.3,841.3,777.6,782.2,782.2,"239,351"
30-Sep-07,745.1,795.4,724.3,792,792,"2,720"
