Date,Open,High,Low,Close
02/03/2021,"30,689.65","30,793.41","30,521.31","30,723.60"
02/02/2021,"30,276.88","30,840.54","30,276.88","30,687.48"
02/01/2021,"30,054.73","30,335.91","30,014.97","30,211.91"
01/29/2021,"30,553.91","30,553.91","29,856.30","29,982.62"
01/28/2021,"30,377.19","30,951.41","30,377.19","30,603.36"
01/27/2021,"30,893.78","30,893.78","30,206.91","30,303.17"
01/26/2021,"30,968.55","31,121.42","30,921.71","30,937.04"
01/25/2021,"30,989.85","30,989.85","30,564.06","30,960.00"
01/22/2021,"31,141.56","31,141.56","30,908.47","30,996.98"
01/21/2021,"31,198.01","31,272.22","31,120.92","31,176.01"
01/20/2021,"31,017.54","31,235.98","30,997.79","31,188.38"
01/19/2021,"30,887.42","31,086.62","30,865.03","30,930.52"
01/15/2021,"30,926.77","30,941.98","30,612.67","30,814.26"
01/14/2021,"31,085.67","31,223.78","30,982.24","30,991.52"
01/13/2021,"31,084.88","31,153.37","30,992.05","31,060.47"
01/12/2021,"31,015.01","31,114.56","30,888.76","31,068.69"
01/11/2021,"31,015.37","31,096.98","30,832.06","31,008.69"
01/08/2021,"31,069.58","31,140.67","30,793.27","31,097.97"
01/07/2021,"30,901.18","31,193.40","30,897.86","31,041.13"
01/06/2021,"30,362.78","31,022.65","30,313.07","30,829.40"
01/05/2021,"30,204.25","30,504.89","30,141.78","30,391.60"
01/04/2021,"30,627.47","30,674.28","29,881.82","30,223.89"
12/31/2020,"30,417.64","30,637.47","30,344.50","30,606.48"
12/30/2020,"30,415.09","30,525.35","30,393.04","30,409.56"
12/29/2020,"30,492.07","30,588.79","30,274.24","30,335.67"
12/28/2020,"30,283.23","30,525.56","30,283.23","30,403.97"
12/24/2020,"30,155.92","30,209.67","30,099.30","30,199.87"
12/23/2020,"30,046.73","30,292.53","30,046.73","30,129.83"
12/22/2020,"30,200.20","30,200.20","29,992.89","30,015.51"
12/21/2020,"30,159.00","30,304.14","29,755.53","30,216.45"
